image_id,source,pid,prolificId,condition,word,week,trialIndex,image_path,description,visible_text,recognizability,description_model,is_valid_image,width,height,embedding_row,generated_at
human__P003_week1_1,participant,P003,5b94fffdaa1729000192a770,draw-ai-fewer,vision,week1,1,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/5b94fffdaa1729000192a770/metaphor/0_vision.png,A large eye looks toward a tree beside a house with a door.,,clear,gpt-5.4-mini-2026-03-17,True,2000,2000,,2026-08-19T20:02:02.366838+00:00
human__P003_week1_2,participant,P003,5b94fffdaa1729000192a770,draw-ai-fewer,aversion,week1,2,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/5b94fffdaa1729000192a770/metaphor/1_aversion.png,A person is being struck or pushed by a large horseshoe magnet with plus and minus poles.,,clear,gpt-5.4-mini-2026-03-17,True,2000,2000,,2026-08-19T20:02:03.489849+00:00
human__P003_week1_3,participant,P003,5b94fffdaa1729000192a770,draw-ai-fewer,servant,week1,3,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/5b94fffdaa1729000192a770/metaphor/2_servant.png,A person wearing a crown sits on another person on all fours while holding a goblet.,,clear,gpt-5.4-mini-2026-03-17,True,2000,2000,,2026-08-19T20:02:04.545781+00:00
human__P003_week1_5,participant,P003,5b94fffdaa1729000192a770,draw-ai-fewer,struggle,week1,5,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/5b94fffdaa1729000192a770/metaphor/4_struggle.png,A person is kicking a large cloud or smoke puff.,,uncertain,gpt-5.4-mini-2026-03-17,True,2000,2000,,2026-08-19T20:02:06.036168+00:00
human__P004_week1_1,participant,P004,5d42cf5669717700013c822f,draw-no-ai,protection,week1,1,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/5d42cf5669717700013c822f/metaphor/0_protection.png,"A large cross stands beside two stick figures, one tall and one small, with the tall figure smiling.",,clear,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:02:07.098441+00:00
human__P004_week1_2,participant,P004,5d42cf5669717700013c822f,draw-no-ai,energy,week1,2,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/5d42cf5669717700013c822f/metaphor/1_energy.png,A tall cylindrical battery with a marked top and a darkened lower end.,a,clear,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:02:07.901744+00:00
human__P004_week1_3,participant,P004,5d42cf5669717700013c822f,draw-no-ai,disease,week1,3,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/5d42cf5669717700013c822f/metaphor/2_disease.png,A round pizza with several toppings cut into slices.,,clear,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:02:08.942948+00:00
human__P004_week1_4,participant,P004,5d42cf5669717700013c822f,draw-no-ai,portal,week1,4,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/5d42cf5669717700013c822f/metaphor/3_portal.png,A spiral-shaped coil or coiled rope with a small arrow mark near the outer end.,,uncertain,gpt-5.4-mini-2026-03-17,True,2000,2000,,2026-08-19T20:02:09.822574+00:00
human__P004_week1_6,participant,P004,5d42cf5669717700013c822f,draw-no-ai,control,week1,6,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/5d42cf5669717700013c822f/metaphor/5_control.png,A tall rectangular building with several windows and a door.,,clear,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:02:10.809568+00:00
human__P004_week1_7,participant,P004,5d42cf5669717700013c822f,draw-no-ai,darkness,week1,7,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/5d42cf5669717700013c822f/metaphor/6_darkness.png,"A boat floats on water near a tree or bush on the shore, with several wavy lines indicating the water surface.",,uncertain,gpt-5.4-mini-2026-03-17,True,2000,2000,,2026-08-19T20:02:12.862063+00:00
human__P004_week2_1,participant,P004,5d42cf5669717700013c822f,draw-no-ai,protection,week2,1,/Users/fm/Documents/Github/figcreativity/scripts/data/week2/images/5d42cf5669717700013c822f/metaphor/0_protection.png,No recognizable object or scene; only a single looping curved line.,,none,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:26:36.894158+00:00
human__P004_week2_2,participant,P004,5d42cf5669717700013c822f,draw-no-ai,energy,week2,2,/Users/fm/Documents/Github/figcreativity/scripts/data/week2/images/5d42cf5669717700013c822f/metaphor/1_energy.png,A battery with a lightning bolt symbol on its front.,,clear,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:26:37.830770+00:00
human__P004_week2_3,participant,P004,5d42cf5669717700013c822f,draw-no-ai,disease,week2,3,/Users/fm/Documents/Github/figcreativity/scripts/data/week2/images/5d42cf5669717700013c822f/metaphor/2_disease.png,No recognizable object or scene; only two small dots and a short curved line.,,none,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:26:38.957564+00:00
human__P004_week2_4,participant,P004,5d42cf5669717700013c822f,draw-no-ai,portal,week2,4,/Users/fm/Documents/Github/figcreativity/scripts/data/week2/images/5d42cf5669717700013c822f/metaphor/3_portal.png,A tall rectangular container or box with an open top.,,uncertain,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:26:40.050149+00:00
human__P004_week2_6,participant,P004,5d42cf5669717700013c822f,draw-no-ai,control,week2,6,/Users/fm/Documents/Github/figcreativity/scripts/data/week2/images/5d42cf5669717700013c822f/metaphor/5_control.png,A tall rectangular sheet of paper or a blank sign.,,uncertain,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:26:40.891599+00:00
human__P004_week2_7,participant,P004,5d42cf5669717700013c822f,draw-no-ai,darkness,week2,7,/Users/fm/Documents/Github/figcreativity/scripts/data/week2/images/5d42cf5669717700013c822f/metaphor/6_darkness.png,A sailboat with a large sail and a pointed hull.,,uncertain,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:26:41.932520+00:00
